date	etime	name	nbcell	nbrun	nbvalid	success	time	output
2017-08-14 09:28:47.131784	9.220237300000008	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_about_files.ipynb	12	12	12	True	2.2493226	
2017-08-14 09:34:49.020536	10.210316999999977	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\check_matplotlib_backend.ipynb	8	8	8	True	2.4214865000000145	
2017-08-14 09:35:05.311224	16.289609400000018	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\compare_python_distribution.ipynb	8	8	8	True	8.907390899999996	
2017-08-14 09:35:15.525412	10.21409140000003	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_about_files.ipynb	12	12	12	True	2.8842171000000008	
2017-08-14 09:35:23.742603	8.224240500000063	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_completion.ipynb	8	8	8	True	0.9518481999999722	
2017-08-14 09:35:33.938617	10.187779099999943	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_documentation.ipynb	6	6	6	True	2.9713006000000632	
2017-08-14 09:35:42.128389	8.190094299999943	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_pyquickhelper.ipynb	9	8	8	True	1.0767350999999508	
2017-08-14 09:35:49.247057	7.118872600000032	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_with_comments.ipynb	3	3	3	True	0.1796330999999327	
2017-08-14 09:35:57.441866	8.194235899999967	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\exemple_of_fix_menu.ipynb	10	9	9	True	1.1429924000000256	
2017-08-14 09:36:11.645667	14.202441600000045	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\having_a_form_in_a_notebook.ipynb	14	11	11	True	6.248134699999922	
2017-08-14 09:36:25.841867	14.209490200000005	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\javascript_extension.ipynb	6	6	6	True	6.961766199999943	
2017-08-14 09:36:34.015920	8.159321100000057	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\notebook_with_svg.ipynb	2	2	2	True	0.9066195999999992	
2017-08-14 09:36:42.168943	8.154533300000026	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\simple_example.ipynb	8	8	8	True	1.0628044999999702	
